event_id,datalayer_event,ga4_event,funnel,macro_or_micro,weight,trigger,required_params,optional_params,sampled,phase,status
E41,titana_rating_submit,rating_submit,social,micro,5,brand rating,"brand_id,rating_value",,no,6,to_build
E42,titana_newsletter_subscribe,newsletter_subscribe,social,micro,4,footer email form,form_id,,no,6,to_build
E43,titana_referral_share,referral_share,G,micro,4,share code,channel,code,no,7,to_build
E44,titana_referral_landing,referral_landing,G,micro,8,arrival with referral code,code,,no,7,to_build
E45,titana_club_view,club_view,G,micro,4,club dashboard view,"club_tier,points",,no,7,to_build
E46,titana_installment_view,installment_view,F,micro,5,pricing w/ installment badge,"product_id,plan",,no,7,to_build
E47,titana_credit_apply_submit,credit_apply,F,macro,40,credit application submitted,amount_toman,tier,no,7,to_build
E48,titana_credit_approved,credit_approved,F,macro,60,panel import,"limit_toman,months",,no,8,to_build
E49,titana_order_track_view,order_track_view,post,n/a,0,tracking form used,order_id_prefix,status,no,7,to_build
E50,titana_return_request,return_request,post,n/a,0,return flow,reason,product_id,no,7,to_build
E51,titana_warranty_claim,warranty_claim,post,n/a,0,failure form,type,brand_id,no,7,to_build
E52,titana_pwa_prompt_show,pwa_prompt_show,ux,n/a,0,beforeinstallprompt,method,,no,6,to_build
E53,titana_pwa_prompt_accept,pwa_install,ux,micro,4,accepted,method,,no,6,to_build
E54,titana_content_share,content_share,social,micro,4,share/copy,"method,object_type",object_id,no,6,to_build
E55,titana_utm_missing,utm_missing,qa,n/a,0,landing w/o utm + external referrer,"referral,path",,no,1,to_build
E56,titana_broken_link_click,broken_link_click,qa,n/a,0,click to known-broken target,target,link_text,no,6,to_build
E57,titana_scroll_depth,scroll_depth,ux,n/a,0,thresholds,percent,page_type,yes_20pct,6,to_build
E58,titana_web_vitals,web_vitals,ux,n/a,0,onLCP/INP/CLS,"lcp,inp,cls,txn_id",page_type,yes_20pct,6,to_build
E59,titana_rage_click,rage_click,ux,n/a,0,>=3 clicks /400px /500ms,"x,y,selector",tag_target,no,6,to_build
E60,titana_dead_click,dead_click,ux,n/a,0,click no nav/no DOM change,selector,cursor,no,6,to_build
E61,titana_error_view,error_view,qa,n/a,0,404/500 title or data,error_code,from,no,1,to_build
E62,titana_schema_mismatch,schema_mismatch,qa,n/a,0,required param missing,missing_keys,event_name,no,1,to_build
