tag_id,folder,tag_name,tag_type,ga4_event,trigger_name,trigger_condition,datalayer_deps,blockers,pii_risk,phase,priority,owner,qa_case,status,notes
T303,03 Leads,ga4_evt_form_start,GA4 Event,form_start,tl_form_focus + custom,first focus,"form_id,form_name,field_count",none,none,2,P1,CRO,T-10,to_build,
T304,03 Leads,ga4_evt_form_submit,GA4 Event,form_submit,evt_leads,ajax response,"form_id,result,error_code,time_to_complete_ms",none,medium,2,P0,CRO,T-10,to_build,
T305,04 Tools&Instruments,ga4_evt_tool_view,GA4 Event,tool_view,evt_leads,tool page ready,"tool,rows_available",none,none,2,P1,Product,T-09,to_build,/order /smartorder /customizedpackages
T306,04 Tools&Instruments,ga4_evt_tool_row,GA4 Event,tool_row_edit + tool_row_copy,evt_leads,row change (debounce 400ms),"tool,row_index,field,brand_id,product_id",none,none,2,P1,Product,T-09,to_build,quick order 10-row grid
T307,04 Tools&Instruments,ga4_evt_tool_total,GA4 Event,tool_total_change,evt_leads,totals change (debounce 800ms),"tool,lines_count,discount_toman,final_toman",none,none,2,P1,Product,T-05,to_build,
T308,04 Tools&Instruments,ga4_evt_tool_submit,GA4 Event,tool_submit,evt_leads,add-to-cart from tool,"tool,lines_count,final_toman,discount_toman",cbk_block_test_orders,low,2,P0,Growth,T-09,to_build,key event
T309,04 Tools&Instruments,ga4_evt_compare,GA4 Event,compare_view,evt_leads,/compare/brand interactions,"brands_compared[],systems[],dims_used",none,none,2,P2,Merch,T-09,to_build,competitive intel
T310,04 Tools&Instruments,ga4_evt_installment,GA4 Event,installment_view,evt_leads,badge/plan clicked,"product_id,plan,amount_toman",none,none,2,P1,Finance,T-14,to_build,while /leasing-404/ broken only clicks
T400,05 Media,ga4_evt_promo_view,GA4 Event,view_promo,custom_promo_view,slider/banner visible (25% sample),"creative_id,slot,brand_id",none,none,3,P2,Content,T-16,to_build,creative_id from /Photos/Sliders/{id}
T401,05 Media,ga4_evt_promo_click,GA4 Event,select_promo,clk_link_ext/custom,banner click,"creative_id,slot,product_id",none,none,3,P1,Content,T-16,to_build,
T402,05 Media,ga4_evt_file_download,GA4 Event,file_download,clk_download + evt_media,\.pdf|zip|rar|dme,"doc_type,file_ext,product_id,brand_id",none,none,3,P0,Content,T-09,to_build,catalog/pricelist/exocad/failure_form
T403,05 Media,ga4_evt_video,GA4 Event,video_progress,custom_video,25/50/75/100,"percent,video_id,brand_id",none,none,3,P2,Content,T-15,to_build,homepage video tiles + Aparat embeds
T404,03 Leads,ga4_evt_chat_click,GA4 Event,chat_click,clk_messenger,widget/messenger link,"channel,agent_id,page_type,product_id",cbk_block_preview,medium,3,P0,Sales,T-15,to_build,wa.me/t.me/ble.ir + tel
T405,03 Leads,ga4_evt_phone_click,GA4 Event,phone_click,clk_messenger,tel: link,"extension,page_type",none,low,3,P1,Sales,T-15,to_build,header + footer + support widget numbers
T406,05 Media,ga4_evt_content_share,GA4 Event,content_share,clk_link_ext/custom,share/copy click,"method,object_type,object_id",none,none,3,P2,Content,T-09,to_build,
T407,05 Media,ga4_evt_review,GA4 Event,review_submit + rating_submit,evt_leads,comment/rating posted,"product_id,brand_id,rating_value,length_chars",none,low,3,P2,Content,T-09,to_build,zero-party
T408,07 QA&Maintenance,ga4_evt_utm_missing,GA4 Event,utm_missing,tl_all_pages,no utm + external referrer,"referral,path",none,none,3,P1,Growth,T-18,to_build,campaign hygiene report
T409,07 QA&Maintenance,ga4_evt_broken_link,GA4 Event,broken_link_click,clk_broken,known broken targets,"target,link_text",none,none,3,P2,FE,T-14,to_build,/leasing-404/ first
T410,07 QA&Maintenance,ga4_evt_ux,GA4 Event,scroll_depth + web_vitals + rage_click + dead_click,tl_scroll/EV/custom,ux events,"percent,lcp,inp,cls,x,y,selector",cbk_block_internal,none,3,P2,FE,T-16,to_build,sampled 20% to GA4; full to BQ via sGTM
T411,07 QA&Maintenance,ga4_evt_pwa,GA4 Event,pwa_prompt_show + pwa_install + pwa_prompt_dismiss,custom_pwa,beforeinstallprompt events,method,none,none,3,P2,FE,T-15,to_build,
T500,06 Identity&Consent,html_linker_crossdomain,GA4 Config override,cross_domain,tl_all_pages,always,linker domains,none,none,4,P0,Data,T-11,to_build,club.titana.ir (+ fix http:// first)
T501,99 Archive,pix_gads_base,Google Ads Remarketing,AW-XXXX,tl_all_pages,tg_enable_gads=true,page_view,cbk_block_internal,medium,4,P3,Growth,T-13,hold,ready but OFF until agency account confirmed
T502,99 Archive,pix_gads_conv,Google Ads Conversion,AW-XXXX,evt_leads + evt_ecom,"quote_request,purchase","transaction_id,value",cbk_once_purchase,low,4,P3,Growth,T-04,hold,order_id as Google-enhanced-conversion-id
T503,99 Archive,pix_meta,Meta Pixel,fbq,tl_all_pages + evt_ecom,"PageView,ViewContent,AddToCart,Lead,Purchase",cd[],cbk_block_internal,high,4,P3,Growth,T-17,hold,never forward items[].customer data
T504,99 Archive,pix_local_networks,Yektanet/Reklamir/SnappAd,native,evt_leads + evt_ecom,conversion only,"order_id,value_toman",cbk_block_internal,medium,4,P3,Growth,T-05,optional,one conversion per network max
T505,01 GA4,sgtm_ga4_forward,GA4 via sGTM,all,evt_any_titana,all routed to tms.titana.ir/g/collect,full payload,cbk_block_internal,low,4,P1,Data,T-18,to_build,server dedupe + raw tee to BQ
T506,00 Core,html_offline_order_import,Custom HTML / webhook,order_enriched,custom_offline_import,only on confirm page (server-verified),"order_id,margin_toman,fixtures_units",cbk_block_test_orders,low,4,P1,Data,T-05,to_build,never trust browser for margin
